Ads,Ad name,Quality ranking,Engagement rate ranking,Conversion rate ranking,Amount spent (AUD),Result Type,Cost per result,Impressions,Reach,Frequency,Clicks (all),CTR (all),Outbound clicks,Purchases,Purchase ROAS (return on ad spend),Video plays at 95%,Preview link,Reporting starts,Reporting ends
DPA - Prospecting - All prod - NZ,DPA - Prospecting - All prod - NZ,Above average,Above average,Above average,194.35,Website purchases,14.95,12657,4105,3.08331303,589,4.65355139,535,13,9.1291999,,https://www.facebook.com/?feed_demo_ad=120210898284800758&h=AQASvL-XYZ3RYEsYH6Q&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
EPV3 - @rosalieburns - Halen Off Shoulder Mini Dress - Black - AUS - 09.10.25 – Copy,EPV3 - @rosalieburns - Halen Off Shoulder Mini Dress - Black - AUS - 09.10.25 – Copy,Average,Average,Average,188.8,Website purchases,62.93333333,11208,8371,1.33890814,194,1.7309065,116,3,2.29237288,332,https://www.facebook.com/?feed_demo_ad=120235482283890758&h=AQDXkmor7955jjDkZL0,17/10/2025,23/10/2025
EPV1 - @dekota_thompson - Chiara Maxi Dress - Yellow - AUS - 23.09.25 – Copy,EPV1 - @dekota_thompson - Chiara Maxi Dress - Yellow - AUS - 23.09.25 – Copy,Average,Above average,Average,184.92,Website purchases,20.54666667,13913,10738,1.2956789,233,1.67469273,124,9,5.5431538,246,https://www.facebook.com/?feed_demo_ad=120234546450430758&h=AQAAMVr6eU38VVG2CR4,17/10/2025,23/10/2025
EP5 - @lillychugg - Robin Off Shoulder Top - Taupe - AUS - 14.10.25 – Copy,EP5 - @lillychugg - Robin Off Shoulder Top - Taupe - AUS - 14.10.25 – Copy,Average,Above average,Average,175.45,Website purchases,29.24166667,42769,30909,1.38370701,136,0.31798733,120,6,5.25779424,,https://www.facebook.com/?feed_demo_ad=120235697641960758&h=AQDdMGeyV_OKMY3sUIc,17/10/2025,23/10/2025
DYNCAR - ALL PROD - AUS,DYNCAR - ALL PROD - AUS,Average,Above average,Above average,172.91,Website purchases,4.21731707,13120,4684,2.80102477,531,4.0472561,470,41,36.37811578,,https://www.facebook.com/?feed_demo_ad=120209083181920758&h=AQAgXF3Ud37o1q7PLkU&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
DPA - Prospecting - All prod - AUS,DPA - Prospecting - All prod - AUS,-,-,-,172.03,Website purchases,86.015,4702,298,15.77852349,100,2.12675457,88,2,6.61390455,,https://www.facebook.com/?feed_demo_ad=120209503559700758&h=AQBDvp7XstnBKvhs7us&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
1.Aq - DPA - ADV+ - STATIC CAT ALL PROD - Canada,1.Aq - DPA - ADV+ - STATIC CAT ALL PROD - Canada,Average,Above average,Above average,159,Website purchases,22.71428571,12090,4569,2.64609324,300,2.48138958,239,7,8.97792453,,https://www.facebook.com/?feed_demo_ad=120235465217000758&h=AQAqnzrgxslAq8aKQNg,17/10/2025,23/10/2025
V3- Polka Dot Trend - Arrivals - AUS - 08.10.25 - Copy,V3- Polka Dot Trend - Arrivals - AUS - 08.10.25 - Copy,Average,Above average,Average,154.14,Website purchases,77.07,9472,8103,1.16894977,190,2.00591216,112,2,1.32282341,267,https://www.facebook.com/?feed_demo_ad=120235410888040758&h=AQCxd9CKtVeHk61yWr4,17/10/2025,23/10/2025
DYNCAR - ALL PROD - AUS - Frame Returns,DYNCAR - ALL PROD - AUS - Frame Returns,Average,Above average,Above average,153.99,Website purchases,3.49977273,9082,4655,1.95102041,377,4.15106805,241,44,55.93207351,,https://www.facebook.com/?feed_demo_ad=120235058863150758&h=AQDqmReqJQSnLyYw9MU&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
DPA - Prospecting - CAR - All prod - CAN,DPA - Prospecting - CAR - All prod - CAN,Average,Above average,Above average,146.96,Website purchases,36.74,7993,3397,2.35295849,427,5.3421744,371,4,4.74516875,,https://www.facebook.com/?feed_demo_ad=120213447706090758&h=AQBocoUhr2btf1IRJ0U&force_product_ids=3067823676675179%2C3499507163507843%2C3565530890238879%2C3940388229395297%2C4087940241310502,17/10/2025,23/10/2025
V1 - Nienke Partnership - Casuals,V1 - Nienke Partnership - Casuals,Below average – bottom 35% of ads,Average,Average,130.18,,,10134,9007,1.1251249,184,1.81567002,183,,,1018,https://www.facebook.com/?feed_demo_ad=120235687254570758&h=AQBxrXhCpHqYJO9lBpg,17/10/2025,23/10/2025
Video - Amy - Jessica Skort,Video - Amy - Jessica Skort,Average,Average,Below average – bottom 35% of ads,119.86,Website purchases,59.93,10282,6507,1.58014446,220,2.13966154,207,2,3.04313366,1064,https://www.facebook.com/?feed_demo_ad=120235405564680758&h=AQB-GnAB0E9pjDFQT6M,17/10/2025,23/10/2025
V7 - Partnership - @Bellarychter - AUS - 01.10.25,V7 - Partnership - @Bellarychter - AUS - 01.10.25,Average,Average,Average,119.45,Website purchases,19.90833333,10401,7222,1.44018277,121,1.16334968,101,6,4.08338217,315,https://www.facebook.com/?feed_demo_ad=120235479154040758&h=AQDNrWsF-3nc-IyoDac,17/10/2025,23/10/2025
EPV1 - @eileencassidy_ - Cierra Midi Dress - White - Exisiting Posts - AUS - 01.04.25,EPV1 - @eileencassidy_ - Cierra Midi Dress - White - Exisiting Posts - AUS - 01.04.25,Average,Above average,Above average,111.22,Website purchases,18.53666667,3920,2645,1.48204159,147,3.75,121,6,7.36809926,123,https://www.facebook.com/?feed_demo_ad=120219840781250758&h=AQBXER0r0U9Clenn1hA,17/10/2025,23/10/2025
V1 - Yana Partnership - Margo,V1 - Yana Partnership - Margo,Below average – bottom 35% of ads,Above average,Average,99.45,Website purchases,9.04090909,9459,6803,1.39041599,91,0.96204673,69,11,14.82936149,237,https://www.facebook.com/?feed_demo_ad=120233636374060758&h=AQAZZ5fCHaL1L5givyQ,17/10/2025,23/10/2025
EPV3 - @rosalieburns - Halen Off Shoulder Mini Dress - Black - USA - 09.10.25 – Copy,EPV3 - @rosalieburns - Halen Off Shoulder Mini Dress - Black - USA - 09.10.25 – Copy,Below average – bottom 35% of ads,Average,Average,96.13,,,6516,5319,1.2250423,213,3.26887661,183,,,467,https://www.facebook.com/?feed_demo_ad=120235482687130758&h=AQAHdatryP6ni2Tw690,17/10/2025,23/10/2025
EPV5 - @josephinemok - Tiffy Crochet Short Sleeve Maxi Dress - White - AUS - 23.09.25 – Copy,EPV5 - @josephinemok - Tiffy Crochet Short Sleeve Maxi Dress - White - AUS - 23.09.25 – Copy,Average,Above average,Average,94.98,Website purchases,23.745,7720,5760,1.34027778,96,1.24352332,59,4,5.52442619,1004,https://www.facebook.com/?feed_demo_ad=120234546450510758&h=AQD7zLEA0tEkoOWjsk8,17/10/2025,23/10/2025
DPA URL - 19.02.24,DPA URL - 19.02.24,Above average,Above average,Above average,89.05,Website purchases,3.425,5298,2344,2.26023891,406,7.66326916,383,26,37.66052779,,https://www.facebook.com/?feed_demo_ad=120217205921560758&h=AQB7FzJDkSCeekfu3fU,17/10/2025,23/10/2025
V1 - Sienna Partnership  - Evening,V1 - Sienna Partnership  - Evening,Below average – bottom 35% of ads,Average,Above average,88.97,Website purchases,11.12125,12512,9104,1.37434095,57,0.45556266,28,8,16.60267506,243,https://www.facebook.com/?feed_demo_ad=120233636011210758&h=AQDMQwErBL0q0Hrb-Xo,17/10/2025,23/10/2025
EP3 - Blue Orchid - AUS - 09.10.25 – Copy,EP3 - Blue Orchid - AUS - 09.10.25 – Copy,Average,Above average,Above average,84.04,Website purchases,84.04,11046,8650,1.27699422,94,0.85098678,77,1,1.61732508,,https://www.facebook.com/?feed_demo_ad=120235482283870758&h=AQBIKtyL1glgVBSpxSM,17/10/2025,23/10/2025
EPV3 - @justanothermannequin - Melanie Halter Neck Maxi Dress - Cream - AUS - 02.09.25,EPV3 - @justanothermannequin - Melanie Halter Neck Maxi Dress - Cream - AUS - 02.09.25,Average,Above average,Above average,77.37,Website purchases,12.895,3030,2132,1.42120075,100,3.30033003,77,6,15.37236655,307,https://www.facebook.com/?feed_demo_ad=120233265575780758&h=AQAIszcceBdb6SQ4zwI,17/10/2025,23/10/2025
EPV6 - @amytowne - Back In Stock - AUS - 02.09.25,EPV6 - @amytowne - Back In Stock - AUS - 02.09.25,Average,Above average,Above average,77.34,Website purchases,25.78,1913,1416,1.3509887,62,3.24098275,43,3,7.13279028,279,https://www.facebook.com/?feed_demo_ad=120233265575730758&h=AQCeF7a4aSdvmLkIsKU,17/10/2025,23/10/2025
C1- Rochelle Partnership - Event Ready - Copy,C1- Rochelle Partnership - Event Ready - Copy,Average,Above average,Above average,76.7,Website purchases,76.7,9801,6645,1.47494357,151,1.54065912,120,1,2.0071708,25,https://www.facebook.com/?feed_demo_ad=120235479879940758&h=AQAqeY5LkNqBdYXIboA,17/10/2025,23/10/2025
EPV1 - @bynicolevoz - Bridesmaid Dresses and Gowns - AUS -  14.10.25 – Copy,EPV1 - @bynicolevoz - Bridesmaid Dresses and Gowns - AUS -  14.10.25 – Copy,Average,Above average,Average,66.67,Website purchases,33.335,5527,3989,1.38556029,76,1.37506785,54,2,7.97660117,447,https://www.facebook.com/?feed_demo_ad=120235697641920758&h=AQDTVKyxusfITL32AGU,17/10/2025,23/10/2025
EP6 - @tammounna - Dae Maxi Dress - White/Natural - AUS - 23.09.25 – Copy,EP6 - @tammounna - Dae Maxi Dress - White/Natural - AUS - 23.09.25 – Copy,Average,Above average,Above average,66.25,,,13724,9384,1.46248934,359,2.61585544,355,,,,https://www.facebook.com/?feed_demo_ad=120234546450450758&h=AQAfNOdhX0znOYoL1Nc,17/10/2025,23/10/2025
